id_usuario,genero_usuario,edad_usuario,fecha_alta,hora_alta
604325,MALE,50,29-11-19,1:12:00 PM
604323,FEMALE,37,29-11-19,1:11:00 PM
604317,MALE,26,29-11-19,1:09:00 PM
604309,MALE,29,29-11-19,1:06:00 PM
604306,MALE,27,29-11-19,1:03:00 PM
604302,MALE,74,29-11-19,1:00:00 PM
604300,MALE,20,29-11-19,12:59:00 PM
604297,FEMALE,44,29-11-19,12:57:00 PM
604291,FEMALE,25,29-11-19,12:56:00 PM
604288,MALE,30,29-11-19,12:54:00 PM
604282,MALE,31,29-11-19,12:49:00 PM
604278,MALE,34,29-11-19,12:46:00 PM
604274,MALE,53,29-11-19,12:42:00 PM
604272,FEMALE,22,29-11-19,12:41:00 PM
604268,MALE,50,29-11-19,12:36:00 PM
604261,MALE,25,29-11-19,12:32:00 PM
604259,MALE,56,29-11-19,12:31:00 PM
604254,MALE,26,29-11-19,12:25:00 PM
604252,MALE,53,29-11-19,12:19:00 PM
604244,MALE,27,29-11-19,12:11:00 PM
604238,FEMALE,31,29-11-19,12:02:00 PM
604237,MALE,40,29-11-19,12:02:00 PM
604236,MALE,25,29-11-19,12:02:00 PM
604228,MALE,25,29-11-19,11:57:00 AM
604222,FEMALE,24,29-11-19,11:52:00 AM
604220,FEMALE,26,29-11-19,11:48:00 AM
604213,MALE,61,29-11-19,11:45:00 AM
604212,FEMALE,34,29-11-19,11:44:00 AM
604211,MALE,22,29-11-19,11:43:00 AM
604205,OTHER,19,29-11-19,11:40:00 AM
604203,MALE,60,29-11-19,11:40:00 AM
604195,OTHER,26,29-11-19,11:33:00 AM
604194,MALE,24,29-11-19,11:32:00 AM
604193,MALE,39,29-11-19,11:32:00 AM
604171,FEMALE,20,09-09-20,6:30:00 PM
604168,FEMALE,23,29-11-19,11:09:00 AM
604164,FEMALE,55,29-11-19,11:07:00 AM
604162,FEMALE,21,29-11-19,11:06:00 AM
604158,FEMALE,19,29-11-19,11:02:00 AM
604157,MALE,29,29-11-19,11:00:00 AM
604151,MALE,33,29-11-19,10:53:00 AM
604143,MALE,28,29-11-19,10:45:00 AM
604142,MALE,39,29-11-19,10:44:00 AM
604139,MALE,37,29-11-19,10:43:00 AM
604130,MALE,32,29-11-19,10:32:00 AM
604127,OTHER,33,29-11-19,10:30:00 AM
604121,FEMALE,32,29-11-19,10:21:00 AM
604120,FEMALE,34,29-11-19,10:17:00 AM
604119,MALE,58,29-11-19,10:12:00 AM
604117,FEMALE,56,29-11-19,10:06:00 AM
